block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1009,carryover_crt,0,two-sided,ok,,0.3881248710560948,0.19640179910044978,False,0.05,2000,250,250000,1818272271,0.03878830000758171
1000,1009,carryover_crt,1000,two-sided,ok,,0.09109487798726564,0.8500749625187406,False,0.05,2000,125,125000,513747093,0.028508599993074313
1000,1009,carryover_crt,2500,two-sided,ok,,0.2624173429832581,0.5997001499250375,False,0.05,2000,83,43500,2383065416,0.013804599991999567
1000,1009,carryover_crt,5000,two-sided,ok,,0.5494887678632285,0.4877561219390305,False,0.05,2000,41,41000,413235588,0.011105199984740466
1000,1009,carryover_crt,10000,two-sided,ok,,0.15922908980433237,0.8725637181409296,False,0.05,2000,22,22000,3124410249,0.009079900017241016
1000,1009,total_effect_crt,5000,greater,ok,,1.0427999737436573,0.34182908545727136,False,0.05,2000,6,6000,4256690868,0.012275399989448488
1000,1010,anticipation_pirt,-1,greater,ok,,-0.0014711711809355002,0.3808095952023988,False,0.05,2000,499,2000,3614216855,0.03145030001178384
1000,1010,carryover_crt,0,two-sided,ok,,0.24554455369903153,0.42828585707146427,False,0.05,2000,250,250000,1779788845,0.02896809999947436
1000,1010,carryover_crt,1000,two-sided,ok,,-0.26312399430567024,0.5502248875562219,False,0.05,2000,125,125000,1756100117,0.018580300005851313
1000,1010,carryover_crt,2500,two-sided,ok,,0.04230910801079625,0.9410294852573713,False,0.05,2000,83,43500,2101356966,0.01611100000445731
1000,1010,carryover_crt,5000,two-sided,ok,,1.3216677742624066,0.10044977511244378,False,0.05,2000,41,41000,3807862260,0.012489100015955046
1000,1010,carryover_crt,10000,two-sided,ok,,-1.3957063298684291,0.15342328835582209,False,0.05,2000,22,22000,2161754897,0.01101119999657385
1000,1010,total_effect_crt,5000,greater,ok,,1.4076699718236922,0.4942528735632184,False,0.05,2000,2,2000,2809806654,0.00844800000777468
1000,1011,anticipation_pirt,-1,greater,ok,,0.0015631548051492745,0.7741129435282359,False,0.05,2000,499,1000,2684031010,0.02636210000491701
1000,1011,carryover_crt,0,two-sided,ok,,0.38856687089118364,0.18590704647676162,False,0.05,2000,250,250000,3634431147,0.026073599990922958
1000,1011,carryover_crt,1000,two-sided,ok,,0.10130783691260228,0.8035982008995503,False,0.05,2000,125,125000,1233671933,0.0231740000017453
1000,1011,carryover_crt,2500,two-sided,ok,,0.23479719683718253,0.664167916041979,False,0.05,2000,83,43500,12289634,0.012994199991226196
1000,1011,carryover_crt,5000,two-sided,ok,,-0.19693365310005292,0.8045977011494253,False,0.05,2000,41,41000,2028071529,0.01056819999939762
1000,1011,carryover_crt,10000,two-sided,ok,,-0.5708154424975881,0.5227386306846576,False,0.05,2000,22,22000,2751338986,0.008944200002588332
1000,1011,total_effect_crt,5000,greater,ok,,2.319053274780512,0.383808095952024,False,0.05,2000,3,3000,3330742759,0.008720100013306364
1000,1012,anticipation_pirt,-1,greater,ok,,-0.0025942228887294847,0.14292853573213393,False,0.05,2000,499,1000,278549357,0.028106699988711625
1000,1012,carryover_crt,0,two-sided,ok,,0.6179243058345169,0.029985007496251874,True,0.05,2000,250,250000,2350277532,0.02653420000569895
1000,1012,carryover_crt,1000,two-sided,ok,,-1.1291391745413246,0.006496751624187906,True,0.05,2000,125,125000,1121402046,0.018114799982868135
1000,1012,carryover_crt,2500,two-sided,ok,,0.1328070337440953,0.7951024487756122,False,0.05,2000,83,43500,1810364977,0.014117699989583343
1000,1012,carryover_crt,5000,two-sided,ok,,-0.27282145744280495,0.7066466766616691,False,0.05,2000,41,41000,3464637280,0.01201869998476468
1000,1012,carryover_crt,10000,two-sided,ok,,0.25400272111137473,0.7886056971514243,False,0.05,2000,22,22000,3978857134,0.010285900003509596
1000,1012,total_effect_crt,5000,greater,ok,,-0.18428665844599407,0.6151924037981009,False,0.05,2000,3,3000,25648404,0.008792200009338558
1000,1013,anticipation_pirt,-1,greater,ok,,0.0015670322228776752,0.6151924037981009,False,0.05,2000,499,2000,1827607768,0.02663469998515211
1000,1013,carryover_crt,0,two-sided,ok,,-0.17255671568225325,0.5482258870564718,False,0.05,2000,250,250000,4064479988,0.026610400003846735
1000,1013,carryover_crt,1000,two-sided,ok,,-0.35245711088708065,0.3868065967016492,False,0.05,2000,125,125000,479688118,0.02217639997252263
1000,1013,carryover_crt,2500,two-sided,ok,,-0.9597635423204982,0.05247376311844078,False,0.05,2000,83,43500,1396226276,0.01192260000971146
1000,1013,carryover_crt,5000,two-sided,ok,,-0.3645907235233704,0.5892053973013494,False,0.05,2000,41,41000,178606129,0.01020520000020042
1000,1013,carryover_crt,10000,two-sided,ok,,-0.09417454474385473,0.92103948025987,False,0.05,2000,22,22000,2929741554,0.00975940001080744
1000,1013,total_effect_crt,5000,greater,ok,,0.8406839793175459,0.30134932533733133,False,0.05,2000,5,5000,1242263858,0.009815900004468858
1000,1014,anticipation_pirt,-1,greater,ok,,-0.0012062694982125969,0.4522738630684658,False,0.05,2000,499,1000,1899764126,0.0339869000017643
1000,1014,carryover_crt,0,two-sided,ok,,0.4829537493685334,0.11494252873563218,False,0.05,2000,250,250000,4188668455,0.028891699999803677
1000,1014,carryover_crt,1000,two-sided,ok,,-0.6342668656328619,0.13043478260869565,False,0.05,2000,125,125000,2326451462,0.01948750001611188
1000,1014,carryover_crt,2500,two-sided,ok,,0.18256674269267237,0.7241379310344828,False,0.05,2000,83,43500,3031775822,0.015775299980305135
1000,1014,carryover_crt,5000,two-sided,ok,,-1.4814428941066855,0.053973013493253376,False,0.05,2000,41,41000,3412194526,0.01109280000673607
1000,1014,carryover_crt,10000,two-sided,ok,,0.40280453548326417,0.7131434282858571,False,0.05,2000,22,22000,3174714246,0.009843999985605478
1000,1014,total_effect_crt,5000,greater,ok,,2.0369299496375026,0.2463768115942029,False,0.05,2000,4,4000,3634298665,0.009262100007617846
