block_length,seed,n_events,n_blocks,treated_block_share,treated_event_share,mean_reward,mean_reward_control,mean_reward_treated,naive_effect,pure_history_memory,pure_history_share,pure_history_ht,generation_seconds,includes_compilation,jax_backend,file_size_megabytes
1000,1090,500000,500,0.518,0.518,2.293487071990967,1.8847359418869016,2.6738312244415283,0.7890952825546265,5000,0.0282828282828282,1.560603114070796,139.00760280000395,False,cpu,0.6492757797241211
1000,1091,500000,500,0.47,0.47,2.222066164016724,1.867814421653748,2.62154221534729,0.7537277936935425,5000,0.0343434343434343,0.0372001610705346,136.0273695000069,False,cpu,0.6492776870727539
1000,1092,500000,500,0.49,0.49,2.2414050102233887,1.8474565744400024,2.651433229446411,0.8039766550064087,5000,0.0222222222222222,-0.8044075773708748,144.6801698999916,False,cpu,0.645808219909668
1000,1093,500000,500,0.538,0.538,2.293217420578003,1.8796616792678835,2.648352861404419,0.7686911821365356,5000,0.0262626262626262,3.1712568148160223,139.98438789999636,False,cpu,0.6459312438964844
1000,1094,500000,500,0.49,0.49,2.211544990539551,1.84881603717804,2.5890798568725586,0.740263819694519,5000,0.0222222222222222,-0.9373982808296126,140.94669919999433,False,cpu,0.6415729522705078
1000,1095,500000,500,0.494,0.494,2.2195894718170166,1.821416258811951,2.6274354457855225,0.8060191869735718,5000,0.0343434343434343,1.381449666442775,132.91728179999336,False,cpu,0.6413984298706055
1000,1096,500000,500,0.512,0.512,2.296201229095459,1.895794153213501,2.6778392791748047,0.7820451259613037,5000,0.0242424242424242,0.5556376432168363,135.72352460000548,False,cpu,0.6512880325317383
1000,1097,500000,500,0.506,0.506,2.264327049255371,1.8422271013259888,2.6764161586761475,0.8341890573501587,5000,0.0383838383838383,-0.3631178914419328,137.17004950001137,False,cpu,0.6458950042724609
1000,1098,500000,500,0.502,0.502,2.26273775100708,1.8734092712402344,2.6489648818969727,0.7755556106567383,5000,0.0323232323232323,2.479565515219804,140.69180040000356,False,cpu,0.6471548080444336
1000,1099,500000,500,0.49,0.49,2.2244458198547363,1.8264881372451784,2.638646364212036,0.8121582269668579,5000,0.0323232323232323,1.2324550806185213,150.8441174000036,False,cpu,0.6431074142456055
5000,1000,500000,100,0.45,0.45,2.23999571800232,1.6207870244979858,2.9968068599700928,1.376019835472107,5000,0.5252525252525253,0.66626164109597,143.37555430000066,True,cpu,0.6378936767578125
5000,1001,500000,100,0.55,0.55,2.366314649581909,1.6872174739837646,2.9219396114349365,1.234722137451172,5000,0.4747474747474747,2.345111460738772,135.19429810000292,False,cpu,0.6411466598510742
5000,1002,500000,100,0.48,0.48,2.269031286239624,1.6914957761764526,2.894694805145264,1.203199028968811,5000,0.4646464646464646,0.9224248673121436,107.83104530000128,True,cpu,0.6417560577392578
5000,1003,500000,100,0.44,0.44,2.234095573425293,1.6840919256210327,2.9340994358062744,1.2500075101852417,5000,0.4242424242424242,0.0583650087713743,102.55534550000448,False,cpu,0.6435508728027344
5000,1004,500000,100,0.54,0.54,2.4181809425354004,1.6950627565383911,3.0341696739196777,1.3391069173812866,5000,0.5656565656565656,2.4755743273757926,101.6722518000024,False,cpu,0.6481790542602539
5000,1005,500000,100,0.46,0.46,2.299851894378662,1.6984039545059204,3.00589919090271,1.3074952363967896,5000,0.4747474747474747,0.7255982863439454,104.31733350000286,False,cpu,0.6489887237548828
5000,1006,500000,100,0.56,0.56,2.40354323387146,1.7050327062606812,2.952373743057251,1.2473410367965698,5000,0.4646464646464646,2.3556872997325176,101.91964999999618,False,cpu,0.6464710235595703
5000,1007,500000,100,0.52,0.52,2.4109678268432617,1.670255184173584,3.094702959060669,1.424447774887085,5000,0.5353535353535354,2.004646418470566,101.81387790000008,False,cpu,0.6491413116455078
5000,1008,500000,100,0.51,0.51,2.315081834793091,1.682661533355713,2.922701597213745,1.2400400638580322,5000,0.5252525252525253,1.637597698965503,104.83725609999964,False,cpu,0.6402664184570312
5000,1009,500000,100,0.58,0.58,2.391633987426758,1.791128396987915,2.8264827728271484,1.0353543758392334,5000,0.5656565656565656,2.559484950561761,102.34152309999628,False,cpu,0.6426239013671875
5000,1010,500000,100,0.49,0.49,2.320087194442749,1.7571609020233154,2.905991554260254,1.1488306522369385,5000,0.4242424242424242,0.8167385668249293,102.84470590000274,False,cpu,0.6501579284667969
5000,1011,500000,100,0.5,0.5,2.375657081604004,1.6553221940994265,3.09599232673645,1.440670132637024,5000,0.5656565656565656,1.88642436122235,104.90256709999812,False,cpu,0.6473588943481445
5000,1012,500000,100,0.42,0.42,2.191849708557129,1.654542088508606,2.933846950531006,1.2793048620224,5000,0.4545454545454545,-0.2201630660647093,102.352684700003,False,cpu,0.6391849517822266
5000,1013,500000,100,0.46,0.46,2.240682601928711,1.6602907180786133,2.922011375427246,1.2617206573486328,5000,0.5050505050505051,0.6408460454072765,101.97074339998652,False,cpu,0.6380252838134766
5000,1014,500000,100,0.47,0.47,2.280436754226685,1.6620482206344604,2.977768659591675,1.3157204389572144,5000,0.4141414141414141,0.6259048744132122,104.83165110000118,False,cpu,0.6443023681640625
5000,1015,500000,100,0.56,0.56,2.432488441467285,1.7695313692092896,2.9533822536468506,1.183850884437561,5000,0.4646464646464646,2.350911865511341,102.0803489999962,False,cpu,0.6514177322387695
5000,1016,500000,100,0.53,0.53,2.3799490928649902,1.6958684921264648,2.9865875244140625,1.2907190322875977,5000,0.4646464646464646,1.878020886334476,102.02144209999824,False,cpu,0.6475429534912109
5000,1017,500000,100,0.49,0.49,2.329431295394897,1.7667160034179688,2.915113925933838,1.1483979225158691,5000,0.4848484848484848,0.9040398174387037,104.46347499999683,False,cpu,0.6514062881469727
5000,1018,500000,100,0.44,0.44,2.22428297996521,1.691385269165039,2.902515172958374,1.211129903793335,5000,0.5050505050505051,0.2189580559466523,103.35278210000251,False,cpu,0.6415472030639648
5000,1019,500000,100,0.53,0.53,2.40008544921875,1.6767572164535522,3.041527509689331,1.3647702932357788,5000,0.4747474747474747,2.0449530844439763,104.5010772000096,False,cpu,0.6474370956420898
5000,1020,500000,100,0.53,0.53,2.3254337310791016,1.7696237564086914,2.81832218170166,1.0486984252929688,5000,0.5050505050505051,1.6271497001256907,103.38146540000162,False,cpu,0.64404296875
5000,1021,500000,100,0.49,0.49,2.292145013809204,1.728200912475586,2.8791065216064453,1.1509056091308594,5000,0.5050505050505051,0.9693295122621638,101.75239409999632,False,cpu,0.6433706283569336
5000,1022,500000,100,0.47,0.47,2.3050549030303955,1.7314900159835815,2.9518401622772217,1.22035014629364,5000,0.4747474747474747,0.5970807132516094,103.52085459999216,False,cpu,0.6494522094726562
5000,1023,500000,100,0.44,0.44,2.247255802154541,1.679246425628662,2.970176696777344,1.2909302711486816,5000,0.494949494949495,0.3640990623201234,101.86359639999864,False,cpu,0.6447134017944336
